Date,City,State,AreaType,School Type,Fatalities,Wounded,Month,Year,Day of Week,Region,Severity
8/19/2022,Groveport,Ohio,suburban,High School,0,0,August,2022,Tuesday,Midwest,Low
8/29/2022,Oakland,California,urban,High School,0,1,August,2022,Thursday,West,Low
9/3/2022,Dover,Delaware,urban,College,0,4,September,2022,Monday,South,Medium
9/24/2022,Richfield,Minnesota,suburban,High School,0,2,September,2022,Tuesday,Midwest,Low
9/27/2022,Philadelphia,Pennsylvania,urban,High School,1,4,September,2022,Wednesday,Northeast,Medium
9/28/2022,Oakland,California,urban,High School,0,4,September,2022,Wednesday,West,Medium
9/30/2022,Tulsa,Oklahoma,urban,High School,1,3,September,2022,Wednesday,South,Medium
9/30/2022,Newburgh,New York,urban,High School,0,3,September,2022,Friday,Northeast,Medium
10/5/2022,Tucson,Arizona,urban,College,1,0,October,2022,Wednesday,West,Low
10/7/2022,Toledo,Ohio,urban,High School,0,3,October,2022,Sunday,Midwest,Medium
10/8/2022,Baltimore,Maryland,urban,College,0,1,October,2022,Wednesday,South,Low
10/24/2022,St. Louis,Missouri,urban,High School,3,7,October,2022,Wednesday,Midwest,High
11/4/2022,West Hartford,Connecticut,suburban,College,0,1,November,2022,Saturday,Northeast,Low
11/8/2022,Seattle,Washington,urban,High School,1,0,November,2022,Monday,West,Low
11/12/2022,Orlando,Florida,urban,High School,1,2,November,2022,Friday,South,Medium
11/13/2022,Charlottesville,Virginia,urban,College,3,2,November,2022,Wednesday,South,Medium
11/17/2022,Clinton,Indiana,rural,College,0,1,November,2022,Thursday,Midwest,Low
11/19/2022,Albuquerque,New Mexico,urban,College,1,1,November,2022,Tuesday,West,Low
11/27/2022,Tallahassee,Florida,urban,College,1,4,November,2022,Wednesday,South,Medium
12/8/2022,Fuquay-Varina,North Carolina,suburban,Middle School,0,0,December,2022,Tuesday,South,Low
1/4/2023,Detroit,Michigan,urban,Elementry School,1,0,January,2023,Wednesday,Midwest,Low
1/5/2023,Rochester,New York,urban,High School,0,0,January,2023,Wednesday,Northeast,Low
1/6/2023,Newport News,Virginia,urban,Elementry School,0,1,January,2023,Thursday,South,Low
1/7/2023,South Tabor,Oregon,rural,High School,0,1,January,2023,Monday,West,Low
1/10/2023,Stanford,Kentucky,rural,Elementry School,0,1,January,2023,Monday,South,Low
